number;group;name;suggested_cost_price;extra_cost;sales_price;unit_id;stock_quantity;description;min_inventory_quantity;min_sales_quantity;min_purchase_quantity;barcode;default_location_id;variation_id;weight;weight_unit;width;height;depth;size_unit;supplier_product_number;is_barred;discount_group;image_url;Har batchstyring;has_serial_numbers;default_supplier_id
SOL-56000007;25;Washer 8-13-1; kr 0,94 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-56000062;25;Washer 10,5-16,5-1,5; kr 0,94 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-57000301;25;Washer 5-7,5-1; kr 0,94 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-57000353;25;Washer 6,2-11-1,5; kr 0,94 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-57000368;25;Washer 13,2-20-1,5; kr 0,94 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-57000369;25;Washer 14,2-20-1,5; kr 0,94 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-57000377;25;Washer 18-22-1,5; kr 0,94 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-57000379;25;Washer 19-24-1,5; kr 0,94 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-58088282;25;Pastic Cable Zip Tie; kr 0,94 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-58088285;25;Pastic Cable Zip Tie; kr 0,94 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-60351011;25;Washer,water filter; kr 0,94 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-13125033;25;O-Ring D. 15X2,5; kr 1,05 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-16522133;25;O-Ring D. 18X2,5; kr 1,05 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-16712011;25;O-Ring D. 15X3; kr 1,05 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-18024095;25;O-Ring D. 18X2; kr 1,05 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-22210225;25;O-Ring D. 20X23X1,5; kr 1,05 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-25210303;25;O-Ring D. 15,5x2,5; kr 1,05 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
